iter	RMSE
0	45.92485783
1	45.04817594
2	44.27139485
3	43.5608377
4	42.95249503
5	42.36566299
6	41.86442568
7	41.3647453
8	40.87788803
9	40.47774846
10	40.08577749
11	39.74561826
12	39.40806647
13	39.10101532
14	38.78310098
15	38.52455338
16	38.28241421
17	38.06947362
18	37.87762704
19	37.69356491
20	37.48644282
21	37.30081499
22	37.10520393
23	36.94289179
24	36.78879529
25	36.65045647
26	36.52002328
27	36.37819539
28	36.23569306
29	36.10793579
30	36.0191054
31	35.90908759
32	35.81204214
33	35.71664974
34	35.62153604
35	35.50921973
36	35.39829975
37	35.31603892
38	35.2391783
39	35.17567521
40	35.08690379
41	35.01839896
42	34.95325352
43	34.87367707
44	34.80844312
45	34.74328092
46	34.64588825
47	34.59121853
48	34.50457949
49	34.43386745
50	34.37049686
51	34.31500016
52	34.25222915
53	34.17241141
54	34.13404668
55	34.07666215
56	34.01106053
57	33.9649361
58	33.91733233
59	33.86445196
60	33.81486915
61	33.76534236
62	33.68279333
63	33.63847344
64	33.58246061
65	33.54594662
66	33.50135825
67	33.46421261
68	33.42659918
69	33.3916229
70	33.34676871
71	33.3002345
72	33.2557042
73	33.21941543
74	33.17625061
75	33.13705548
76	33.08720223
77	33.05733986
78	33.02824965
79	32.99182863
80	32.95828643
81	32.91204514
82	32.88222688
83	32.86151927
84	32.83039103
85	32.78849055
86	32.74661586
87	32.71291881
88	32.6776911
89	32.65454633
90	32.62609654
91	32.60335247
92	32.56467472
93	32.53187395
94	32.50318125
95	32.48467572
96	32.44740092
97	32.41296302
98	32.37635259
99	32.33541184
100	32.3127869
101	32.29300937
102	32.24936574
103	32.22597961
104	32.19761973
105	32.17404255
106	32.13236103
107	32.10234112
108	32.07422992
109	32.04420035
110	32.02023638
111	31.9984861
112	31.98003602
113	31.95855422
114	31.94066222
115	31.91736344
116	31.90711591
117	31.88384702
118	31.86011827
119	31.84580508
120	31.81377067
121	31.77894213
122	31.75701244
123	31.7388778
124	31.71070955
125	31.68089545
126	31.6607104
127	31.64142027
128	31.6157747
129	31.58044265
130	31.54327778
131	31.51243484
132	31.48491832
133	31.46515132
134	31.44051186
