iter	Passed	Remaining
0	74	74316
1	90	45127
2	106	35375
3	123	30641
4	142	28341
5	162	26867
6	179	25483
7	203	25266
8	227	25093
9	243	24137
10	259	23372
11	275	22693
12	291	22110
13	306	21592
14	321	21132
15	336	20722
16	351	20333
17	366	19993
18	386	19929
19	407	19981
20	431	20110
21	466	20738
22	490	20848
23	511	20782
24	534	20846
25	556	20854
26	577	20793
27	603	20939
28	621	20815
29	641	20727
30	666	20830
31	681	20624
32	697	20435
33	711	20217
34	726	20032
35	742	19888
36	758	19748
37	773	19576
38	787	19394
39	801	19243
40	818	19135
41	833	19006
42	847	18864
43	871	18935
44	896	19031
45	918	19055
46	948	19234
47	963	19115
48	979	19014
49	996	18933
50	1013	18858
51	1033	18850
52	1056	18880
53	1089	19079
54	1113	19130
55	1141	19240
56	1161	19207
57	1178	19145
58	1193	19040
59	1208	18939
60	1223	18826
61	1239	18747
62	1255	18673
63	1271	18589
64	1286	18505
65	1302	18425
66	1316	18327
67	1339	18363
68	1358	18326
69	1373	18244
70	1388	18172
71	1408	18153
72	1425	18101
73	1441	18039
74	1457	17980
75	1473	17916
76	1488	17847
77	1503	17768
78	1518	17703
79	1534	17643
80	1550	17589
81	1570	17581
82	1593	17603
83	1610	17557
84	1625	17502
85	1644	17473
86	1660	17422
87	1678	17393
88	1695	17353
89	1711	17301
90	1725	17240
91	1741	17184
92	1762	17191
93	1779	17152
94	1796	17110
95	1815	17094
96	1835	17086
97	1856	17088
98	1875	17069
99	1893	17040
100	1918	17075
101	1944	17120
102	1973	17190
103	1996	17201
104	2028	17289
105	2062	17391
106	2085	17408
107	2108	17416
108	2131	17425
109	2147	17375
110	2164	17333
111	2180	17289
112	2205	17313
113	2223	17282
114	2241	17246
115	2265	17261
116	2284	17244
117	2310	17269
118	2335	17294
119	2358	17297
120	2382	17306
121	2400	17278
122	2419	17248
123	2435	17203
124	2460	17224
125	2486	17248
126	2501	17198
127	2517	17152
128	2532	17098
129	2548	17052
130	2563	17008
131	2579	16962
132	2595	16917
133	2610	16873
134	2626	16827
135	2642	16785
136	2656	16734
137	2674	16708
138	2698	16717
139	2715	16679
140	2730	16633
141	2745	16589
142	2761	16549
143	2777	16510
144	2793	16474
145	2809	16435
146	2824	16388
147	2840	16349
148	2854	16305
149	2870	16266
150	2885	16223
151	2902	16194
152	2927	16204
153	2945	16183
154	2962	16150
155	2977	16110
156	2992	16066
157	3007	16029
158	3023	15990
159	3037	15946
160	3051	15902
161	3065	15859
162	3080	15816
163	3094	15773
164	3108	15729
165	3124	15697
166	3147	15698
167	3169	15697
168	3187	15671
169	3201	15632
170	3217	15599
171	3234	15570
172	3248	15528
173	3266	15506
174	3286	15491
175	3303	15465
176	3327	15472
177	3350	15471
178	3377	15491
179	3399	15484
180	3416	15458
181	3431	15423
182	3446	15384
183	3461	15350
184	3476	15314
185	3491	15280
186	3507	15250
187	3523	15216
188	3539	15186
189	3553	15149
190	3569	15120
191	3590	15108
192	3610	15095
193	3628	15076
194	3643	15039
195	3658	15009
196	3673	14974
197	3689	14946
198	3705	14916
199	3721	14886
200	3736	14854
201	3751	14820
202	3766	14789
203	3785	14770
204	3799	14735
205	3817	14714
206	3840	14712
207	3857	14689
208	3874	14662
209	3892	14641
210	3906	14609
211	3923	14581
212	3950	14596
213	3971	14587
214	3993	14579
215	4008	14550
216	4023	14518
217	4039	14490
218	4061	14483
219	4092	14508
220	4114	14502
221	4129	14472
222	4148	14456
223	4167	14436
224	4181	14403
225	4197	14374
226	4212	14343
227	4226	14312
228	4243	14286
229	4260	14262
230	4281	14254
231	4303	14247
232	4319	14217
233	4335	14193
234	4351	14164
235	4365	14132
236	4382	14108
237	4399	14086
238	4414	14057
239	4430	14029
240	4446	14004
241	4462	13978
242	4476	13946
243	4498	13937
244	4517	13921
245	4533	13894
246	4547	13863
247	4563	13838
248	4582	13821
249	4603	13810
250	4619	13785
251	4637	13765
252	4661	13763
253	4686	13763
254	4707	13753
255	4732	13753
256	4758	13757
257	4775	13735
258	4792	13711
259	4808	13686
260	4826	13664
261	4841	13637
262	4858	13615
263	4874	13588
264	4891	13567
265	4908	13543
266	4923	13516
267	4941	13496
268	4960	13480
269	4989	13489
270	5007	13469
271	5024	13448
272	5042	13427
273	5058	13404
274	5074	13378
275	5091	13354
276	5105	13326
277	5123	13307
278	5140	13283
279	5157	13261
280	5176	13245
281	5197	13232
282	5213	13207
283	5227	13180
284	5243	13154
285	5259	13129
286	5274	13102
287	5289	13077
288	5305	13052
289	5320	13026
