Place_ID X Date,target
0OS9LVX X 2020-01-02,38.0
0OS9LVX X 2020-01-03,41.0
0OS9LVX X 2020-01-04,29.0
0OS9LVX X 2020-01-05,42.0
0OS9LVX X 2020-01-06,34.0
0OS9LVX X 2020-01-07,36.0
0OS9LVX X 2020-01-08,45.0
0OS9LVX X 2020-01-09,26.0
0OS9LVX X 2020-01-10,29.0
0OS9LVX X 2020-01-11,31.0
0OS9LVX X 2020-01-12,30.0
0OS9LVX X 2020-01-13,35.0
0OS9LVX X 2020-01-14,25.0
0OS9LVX X 2020-01-15,36.0
0OS9LVX X 2020-01-16,38.0
0OS9LVX X 2020-01-17,64.0
0OS9LVX X 2020-01-18,70.0
0OS9LVX X 2020-01-19,49.0
0OS9LVX X 2020-01-20,48.0
0OS9LVX X 2020-01-21,52.0
0OS9LVX X 2020-01-22,42.0
0OS9LVX X 2020-01-23,41.0
0OS9LVX X 2020-01-24,39.0
0OS9LVX X 2020-01-25,45.0
0OS9LVX X 2020-01-26,42.0
0OS9LVX X 2020-01-27,40.0
0OS9LVX X 2020-01-28,34.0
0OS9LVX X 2020-01-29,32.0
0OS9LVX X 2020-01-30,33.0
0OS9LVX X 2020-01-31,39.0
0OS9LVX X 2020-02-01,48.0
0OS9LVX X 2020-02-02,36.0
0OS9LVX X 2020-02-03,31.0
0OS9LVX X 2020-02-04,18.0
0OS9LVX X 2020-02-05,27.0
0OS9LVX X 2020-02-06,29.0
0OS9LVX X 2020-02-07,44.0
0OS9LVX X 2020-02-08,42.0
0OS9LVX X 2020-02-09,46.0
0OS9LVX X 2020-02-10,48.0
0OS9LVX X 2020-02-11,51.0
0OS9LVX X 2020-02-12,48.0
0OS9LVX X 2020-02-13,37.0
0OS9LVX X 2020-02-14,38.0
0OS9LVX X 2020-02-15,36.0
0OS9LVX X 2020-02-16,36.0
0OS9LVX X 2020-02-17,37.0
0OS9LVX X 2020-02-18,36.0
0OS9LVX X 2020-02-19,39.0
0OS9LVX X 2020-02-20,36.0
0OS9LVX X 2020-02-21,51.0
0OS9LVX X 2020-02-22,36.0
0OS9LVX X 2020-02-23,40.0
0OS9LVX X 2020-02-24,37.0
0OS9LVX X 2020-02-25,27.0
0OS9LVX X 2020-02-26,38.0
0OS9LVX X 2020-02-27,48.0
0OS9LVX X 2020-02-28,44.0
0OS9LVX X 2020-02-29,53.0
0OS9LVX X 2020-03-01,50.0
0OS9LVX X 2020-03-02,40.0
0OS9LVX X 2020-03-03,38.0
0OS9LVX X 2020-03-04,48.0
0OS9LVX X 2020-03-05,37.0
0OS9LVX X 2020-03-06,41.0
0OS9LVX X 2020-03-07,35.0
0OS9LVX X 2020-03-08,30.0
0OS9LVX X 2020-03-09,38.0
0OS9LVX X 2020-03-10,35.0
0OS9LVX X 2020-03-11,35.0
0OS9LVX X 2020-03-12,28.0
0OS9LVX X 2020-03-13,31.0
0OS9LVX X 2020-03-14,29.0
0OS9LVX X 2020-03-15,43.0
0OS9LVX X 2020-03-16,48.0
0OS9LVX X 2020-03-17,46.0
0OS9LVX X 2020-03-18,34.0
0OS9LVX X 2020-03-19,32.0
0OS9LVX X 2020-03-20,50.0
0OS9LVX X 2020-03-21,27.0
0OS9LVX X 2020-03-22,32.0
0OS9LVX X 2020-03-23,36.0
0OS9LVX X 2020-03-24,35.0
0OS9LVX X 2020-03-25,35.0
0OS9LVX X 2020-03-26,46.0
0OS9LVX X 2020-03-27,28.0
0OS9LVX X 2020-03-28,37.0
0OS9LVX X 2020-03-29,41.0
0OS9LVX X 2020-03-30,44.0
0OS9LVX X 2020-03-31,49.0
0OS9LVX X 2020-04-01,52.0
0OS9LVX X 2020-04-02,50.0
0OS9LVX X 2020-04-03,48.0
0OS9LVX X 2020-04-04,56.0
0Q2LTOG X 2020-01-02,39.0
0Q2LTOG X 2020-01-03,38.0
0Q2LTOG X 2020-01-04,45.0
0Q2LTOG X 2020-01-05,33.0
0Q2LTOG X 2020-01-06,39.0
0Q2LTOG X 2020-01-07,46.0
0Q2LTOG X 2020-01-08,42.0
0Q2LTOG X 2020-01-09,36.0
0Q2LTOG X 2020-01-10,33.0
0Q2LTOG X 2020-01-11,32.0
0Q2LTOG X 2020-01-12,43.0
0Q2LTOG X 2020-01-13,42.0
0Q2LTOG X 2020-01-14,36.0
0Q2LTOG X 2020-01-15,48.0
0Q2LTOG X 2020-01-16,55.0
0Q2LTOG X 2020-01-17,45.0
0Q2LTOG X 2020-01-18,49.0
0Q2LTOG X 2020-01-19,37.0
0Q2LTOG X 2020-01-20,41.0
0Q2LTOG X 2020-01-21,37.0
0Q2LTOG X 2020-01-22,32.0
0Q2LTOG X 2020-01-23,37.0
0Q2LTOG X 2020-01-24,41.0
