Place_ID X Date,target
0OS9LVX X 2020-01-02,65.0
0OS9LVX X 2020-01-03,41.0
0OS9LVX X 2020-01-04,38.0
0OS9LVX X 2020-01-05,46.0
0OS9LVX X 2020-01-06,22.0
0OS9LVX X 2020-01-07,17.0
0OS9LVX X 2020-01-08,39.0
0OS9LVX X 2020-01-09,49.0
0OS9LVX X 2020-01-10,40.0
0OS9LVX X 2020-01-11,55.0
0OS9LVX X 2020-01-12,36.0
0OS9LVX X 2020-01-13,50.0
0OS9LVX X 2020-01-14,35.0
0OS9LVX X 2020-01-15,45.0
0OS9LVX X 2020-01-16,33.0
0OS9LVX X 2020-01-17,35.0
0OS9LVX X 2020-01-18,50.0
0OS9LVX X 2020-01-19,62.0
0OS9LVX X 2020-01-20,36.0
0OS9LVX X 2020-01-21,45.0
0OS9LVX X 2020-01-22,46.0
0OS9LVX X 2020-01-23,35.0
0OS9LVX X 2020-01-24,31.0
0OS9LVX X 2020-01-25,36.0
0OS9LVX X 2020-01-26,21.0
0OS9LVX X 2020-01-27,34.0
0OS9LVX X 2020-01-28,34.0
0OS9LVX X 2020-01-29,38.0
0OS9LVX X 2020-01-30,46.0
0OS9LVX X 2020-01-31,58.0
0OS9LVX X 2020-02-01,29.0
0OS9LVX X 2020-02-02,33.0
0OS9LVX X 2020-02-03,49.0
0OS9LVX X 2020-02-04,46.0
0OS9LVX X 2020-02-05,46.0
0OS9LVX X 2020-02-06,33.0
0OS9LVX X 2020-02-07,63.0
0OS9LVX X 2020-02-08,31.0
0OS9LVX X 2020-02-09,37.0
0OS9LVX X 2020-02-10,43.0
0OS9LVX X 2020-02-11,41.0
0OS9LVX X 2020-02-12,34.0
0OS9LVX X 2020-02-13,31.0
0OS9LVX X 2020-02-14,46.0
0OS9LVX X 2020-02-15,39.0
0OS9LVX X 2020-02-16,36.0
0OS9LVX X 2020-02-17,41.0
0OS9LVX X 2020-02-18,37.0
0OS9LVX X 2020-02-19,51.0
0OS9LVX X 2020-02-20,39.0
0OS9LVX X 2020-02-21,34.0
0OS9LVX X 2020-02-22,42.0
0OS9LVX X 2020-02-23,41.0
0OS9LVX X 2020-02-24,33.0
0OS9LVX X 2020-02-25,33.0
0OS9LVX X 2020-02-26,27.0
0OS9LVX X 2020-02-27,35.0
0OS9LVX X 2020-02-28,31.0
0OS9LVX X 2020-02-29,30.0
0OS9LVX X 2020-03-01,35.0
0OS9LVX X 2020-03-02,37.0
0OS9LVX X 2020-03-03,36.0
0OS9LVX X 2020-03-04,40.0
0OS9LVX X 2020-03-05,37.0
0OS9LVX X 2020-03-06,35.0
0OS9LVX X 2020-03-07,45.0
0OS9LVX X 2020-03-08,28.0
0OS9LVX X 2020-03-09,39.0
0OS9LVX X 2020-03-10,36.0
0OS9LVX X 2020-03-11,37.0
0OS9LVX X 2020-03-12,30.0
0OS9LVX X 2020-03-13,38.0
0OS9LVX X 2020-03-14,35.0
0OS9LVX X 2020-03-15,36.0
0OS9LVX X 2020-03-16,32.0
0OS9LVX X 2020-03-17,30.0
0OS9LVX X 2020-03-18,34.0
0OS9LVX X 2020-03-19,29.0
0OS9LVX X 2020-03-20,36.0
0OS9LVX X 2020-03-21,30.0
0OS9LVX X 2020-03-22,29.0
0OS9LVX X 2020-03-23,34.0
0OS9LVX X 2020-03-24,35.0
0OS9LVX X 2020-03-25,40.0
0OS9LVX X 2020-03-26,31.0
0OS9LVX X 2020-03-27,31.0
0OS9LVX X 2020-03-28,43.0
0OS9LVX X 2020-03-29,44.0
0OS9LVX X 2020-03-30,53.0
0OS9LVX X 2020-03-31,50.0
0OS9LVX X 2020-04-01,50.0
0OS9LVX X 2020-04-02,35.0
0OS9LVX X 2020-04-03,57.0
0OS9LVX X 2020-04-04,77.0
0Q2LTOG X 2020-01-02,133.0
0Q2LTOG X 2020-01-03,131.0
0Q2LTOG X 2020-01-04,147.0
0Q2LTOG X 2020-01-05,125.0
0Q2LTOG X 2020-01-06,116.0
0Q2LTOG X 2020-01-07,61.0
0Q2LTOG X 2020-01-08,43.0
0Q2LTOG X 2020-01-09,106.0
0Q2LTOG X 2020-01-10,122.0
0Q2LTOG X 2020-01-11,140.0
0Q2LTOG X 2020-01-12,90.0
0Q2LTOG X 2020-01-13,52.0
0Q2LTOG X 2020-01-14,131.0
0Q2LTOG X 2020-01-15,98.0
0Q2LTOG X 2020-01-16,103.0
0Q2LTOG X 2020-01-17,149.0
0Q2LTOG X 2020-01-18,98.0
0Q2LTOG X 2020-01-19,150.0
0Q2LTOG X 2020-01-20,145.0
0Q2LTOG X 2020-01-21,113.0
0Q2LTOG X 2020-01-22,154.0
0Q2LTOG X 2020-01-23,114.0
0Q2LTOG X 2020-01-24,106.0
0Q2LTOG X 2020-01-25,98.0
0Q2LTOG X 2020-01-26,114.0
0Q2LTOG X 2020-01-27,64.0
0Q2LTOG X 2020-01-28,38.0
0Q2LTOG X 2020-01-29,89.0
0Q2LTOG X 2020-01-30,86.0
0Q2LTOG X 2020-01-31,113.0
0Q2LTOG X 2020-02-01,117.0
0Q2LTOG X 2020-02-02,115.0
0Q2LTOG X 2020-02-03,81.0
0Q2LTOG X 2020-02-04,75.0
0Q2LTOG X 2020-02-05,42.0
0Q2LTOG X 2020-02-06,82.0
0Q2LTOG X 2020-02-07,53.0
0Q2LTOG X 2020-02-08,88.0
0Q2LTOG X 2020-02-09,73.0
0Q2LTOG X 2020-02-10,114.0
0Q2LTOG X 2020-02-11,115.0
0Q2LTOG X 2020-02-12,61.0
0Q2LTOG X 2020-02-13,112.0
0Q2LTOG X 2020-02-14,117.0
0Q2LTOG X 2020-02-15,65.0
0Q2LTOG X 2020-02-16,54.0
0Q2LTOG X 2020-02-17,31.0
0Q2LTOG X 2020-02-18,43.0
0Q2LTOG X 2020-02-19,155.0
0Q2LTOG X 2020-02-20,129.0
0Q2LTOG X 2020-02-21,121.0
0Q2LTOG X 2020-02-22,80.0
0Q2LTOG X 2020-02-23,79.0
0Q2LTOG X 2020-02-24,92.0
0Q2LTOG X 2020-02-25,47.0
0Q2LTOG X 2020-02-26,82.0
0Q2LTOG X 2020-02-27,76.0
0Q2LTOG X 2020-02-28,96.0
0Q2LTOG X 2020-02-29,68.0
0Q2LTOG X 2020-03-01,88.0
0Q2LTOG X 2020-03-02,58.0
0Q2LTOG X 2020-03-03,121.0
0Q2LTOG X 2020-03-04,51.0
0Q2LTOG X 2020-03-05,69.0
0Q2LTOG X 2020-03-06,95.0
0Q2LTOG X 2020-03-07,117.0
0Q2LTOG X 2020-03-08,97.0
0Q2LTOG X 2020-03-09,134.0
0Q2LTOG X 2020-03-10,68.0
0Q2LTOG X 2020-03-11,48.0
0Q2LTOG X 2020-03-12,63.0
0Q2LTOG X 2020-03-13,29.0
0Q2LTOG X 2020-03-14,72.0
0Q2LTOG X 2020-03-15,41.0
0Q2LTOG X 2020-03-16,66.0
0Q2LTOG X 2020-03-17,90.0
0Q2LTOG X 2020-03-18,77.0
0Q2LTOG X 2020-03-19,57.0
0Q2LTOG X 2020-03-20,56.0
0Q2LTOG X 2020-03-21,110.0
0Q2LTOG X 2020-03-22,49.0
0Q2LTOG X 2020-03-23,64.0
0Q2LTOG X 2020-03-24,90.0
0Q2LTOG X 2020-03-25,94.0
0Q2LTOG X 2020-03-26,77.0
0Q2LTOG X 2020-03-27,46.0
0Q2LTOG X 2020-03-28,56.0
0Q2LTOG X 2020-03-29,66.0
0Q2LTOG X 2020-03-30,81.0
0Q2LTOG X 2020-03-31,79.0
0Q2LTOG X 2020-04-01,77.0
0Q2LTOG X 2020-04-02,97.0
0Q2LTOG X 2020-04-03,69.0
0Q2LTOG X 2020-04-04,57.0
15WCXN1 X 2020-01-02,214.0
15WCXN1 X 2020-01-03,210.0
15WCXN1 X 2020-01-04,201.0
15WCXN1 X 2020-01-05,185.0
15WCXN1 X 2020-01-06,187.0
15WCXN1 X 2020-01-07,102.0
15WCXN1 X 2020-01-08,131.0
15WCXN1 X 2020-01-09,170.0
15WCXN1 X 2020-01-10,226.0
15WCXN1 X 2020-01-11,212.0
