Place_ID X Date,target
0OS9LVX X 2020-01-02,46.0
0OS9LVX X 2020-01-03,45.0
0OS9LVX X 2020-01-04,40.0
0OS9LVX X 2020-01-05,43.0
0OS9LVX X 2020-01-06,34.0
0OS9LVX X 2020-01-07,27.0
0OS9LVX X 2020-01-08,31.0
0OS9LVX X 2020-01-09,41.0
0OS9LVX X 2020-01-10,26.0
0OS9LVX X 2020-01-11,39.0
0OS9LVX X 2020-01-12,36.0
0OS9LVX X 2020-01-13,40.0
0OS9LVX X 2020-01-14,26.0
0OS9LVX X 2020-01-15,28.0
0OS9LVX X 2020-01-16,37.0
0OS9LVX X 2020-01-17,67.0
0OS9LVX X 2020-01-18,73.0
0OS9LVX X 2020-01-19,53.0
0OS9LVX X 2020-01-20,54.0
0OS9LVX X 2020-01-21,52.0
0OS9LVX X 2020-01-22,45.0
0OS9LVX X 2020-01-23,35.0
0OS9LVX X 2020-01-24,35.0
0OS9LVX X 2020-01-25,41.0
0OS9LVX X 2020-01-26,37.0
0OS9LVX X 2020-01-27,39.0
0OS9LVX X 2020-01-28,30.0
0OS9LVX X 2020-01-29,36.0
0OS9LVX X 2020-01-30,44.0
0OS9LVX X 2020-01-31,43.0
0OS9LVX X 2020-02-01,43.0
0OS9LVX X 2020-02-02,36.0
0OS9LVX X 2020-02-03,34.0
0OS9LVX X 2020-02-04,13.0
0OS9LVX X 2020-02-05,30.0
0OS9LVX X 2020-02-06,36.0
0OS9LVX X 2020-02-07,31.0
0OS9LVX X 2020-02-08,42.0
0OS9LVX X 2020-02-09,56.0
0OS9LVX X 2020-02-10,47.0
0OS9LVX X 2020-02-11,48.0
0OS9LVX X 2020-02-12,37.0
0OS9LVX X 2020-02-13,36.0
0OS9LVX X 2020-02-14,29.0
0OS9LVX X 2020-02-15,35.0
0OS9LVX X 2020-02-16,35.0
0OS9LVX X 2020-02-17,31.0
0OS9LVX X 2020-02-18,37.0
0OS9LVX X 2020-02-19,42.0
0OS9LVX X 2020-02-20,54.0
0OS9LVX X 2020-02-21,52.0
0OS9LVX X 2020-02-22,33.0
0OS9LVX X 2020-02-23,40.0
0OS9LVX X 2020-02-24,24.0
0OS9LVX X 2020-02-25,28.0
0OS9LVX X 2020-02-26,44.0
0OS9LVX X 2020-02-27,55.0
0OS9LVX X 2020-02-28,38.0
0OS9LVX X 2020-02-29,38.0
0OS9LVX X 2020-03-01,42.0
0OS9LVX X 2020-03-02,39.0
0OS9LVX X 2020-03-03,45.0
0OS9LVX X 2020-03-04,44.0
0OS9LVX X 2020-03-05,37.0
0OS9LVX X 2020-03-06,42.0
0OS9LVX X 2020-03-07,35.0
0OS9LVX X 2020-03-08,27.0
0OS9LVX X 2020-03-09,40.0
0OS9LVX X 2020-03-10,34.0
0OS9LVX X 2020-03-11,34.0
0OS9LVX X 2020-03-12,34.0
0OS9LVX X 2020-03-13,31.0
0OS9LVX X 2020-03-14,28.0
0OS9LVX X 2020-03-15,44.0
0OS9LVX X 2020-03-16,48.0
0OS9LVX X 2020-03-17,45.0
0OS9LVX X 2020-03-18,38.0
0OS9LVX X 2020-03-19,31.0
0OS9LVX X 2020-03-20,50.0
0OS9LVX X 2020-03-21,25.0
0OS9LVX X 2020-03-22,29.0
0OS9LVX X 2020-03-23,40.0
0OS9LVX X 2020-03-24,40.0
0OS9LVX X 2020-03-25,35.0
0OS9LVX X 2020-03-26,42.0
0OS9LVX X 2020-03-27,30.0
0OS9LVX X 2020-03-28,29.0
0OS9LVX X 2020-03-29,48.0
0OS9LVX X 2020-03-30,40.0
0OS9LVX X 2020-03-31,51.0
0OS9LVX X 2020-04-01,50.0
0OS9LVX X 2020-04-02,46.0
0OS9LVX X 2020-04-03,47.0
0OS9LVX X 2020-04-04,65.0
0Q2LTOG X 2020-01-02,40.0
0Q2LTOG X 2020-01-03,36.0
0Q2LTOG X 2020-01-04,40.0
0Q2LTOG X 2020-01-05,41.0
0Q2LTOG X 2020-01-06,38.0
0Q2LTOG X 2020-01-07,52.0
0Q2LTOG X 2020-01-08,39.0
0Q2LTOG X 2020-01-09,30.0
0Q2LTOG X 2020-01-10,30.0
0Q2LTOG X 2020-01-11,31.0
0Q2LTOG X 2020-01-12,26.0
0Q2LTOG X 2020-01-13,34.0
0Q2LTOG X 2020-01-14,31.0
0Q2LTOG X 2020-01-15,44.0
0Q2LTOG X 2020-01-16,62.0
0Q2LTOG X 2020-01-17,52.0
0Q2LTOG X 2020-01-18,46.0
0Q2LTOG X 2020-01-19,26.0
0Q2LTOG X 2020-01-20,34.0
0Q2LTOG X 2020-01-21,40.0
0Q2LTOG X 2020-01-22,29.0
0Q2LTOG X 2020-01-23,33.0
0Q2LTOG X 2020-01-24,44.0
0Q2LTOG X 2020-01-25,26.0
0Q2LTOG X 2020-01-26,34.0
0Q2LTOG X 2020-01-27,28.0
0Q2LTOG X 2020-01-28,50.0
0Q2LTOG X 2020-01-29,29.0
0Q2LTOG X 2020-01-30,57.0
0Q2LTOG X 2020-01-31,48.0
0Q2LTOG X 2020-02-01,50.0
0Q2LTOG X 2020-02-02,42.0
0Q2LTOG X 2020-02-03,45.0
0Q2LTOG X 2020-02-04,30.0
0Q2LTOG X 2020-02-05,47.0
0Q2LTOG X 2020-02-06,32.0
0Q2LTOG X 2020-02-07,38.0
0Q2LTOG X 2020-02-08,31.0
0Q2LTOG X 2020-02-09,25.0
0Q2LTOG X 2020-02-10,51.0
0Q2LTOG X 2020-02-11,27.0
0Q2LTOG X 2020-02-12,37.0
0Q2LTOG X 2020-02-13,39.0
0Q2LTOG X 2020-02-14,37.0
0Q2LTOG X 2020-02-15,59.0
0Q2LTOG X 2020-02-16,60.0
0Q2LTOG X 2020-02-17,59.0
0Q2LTOG X 2020-02-18,34.0
0Q2LTOG X 2020-02-19,34.0
0Q2LTOG X 2020-02-20,37.0
0Q2LTOG X 2020-02-21,42.0
0Q2LTOG X 2020-02-22,38.0
0Q2LTOG X 2020-02-23,35.0
0Q2LTOG X 2020-02-24,35.0
0Q2LTOG X 2020-02-25,31.0
0Q2LTOG X 2020-02-26,54.0
0Q2LTOG X 2020-02-27,26.0
0Q2LTOG X 2020-02-28,31.0
0Q2LTOG X 2020-02-29,27.0
0Q2LTOG X 2020-03-01,36.0
0Q2LTOG X 2020-03-02,39.0
0Q2LTOG X 2020-03-03,47.0
0Q2LTOG X 2020-03-04,43.0
0Q2LTOG X 2020-03-05,50.0
0Q2LTOG X 2020-03-06,35.0
0Q2LTOG X 2020-03-07,51.0
0Q2LTOG X 2020-03-08,41.0
0Q2LTOG X 2020-03-09,45.0
0Q2LTOG X 2020-03-10,47.0
0Q2LTOG X 2020-03-11,34.0
0Q2LTOG X 2020-03-12,25.0
0Q2LTOG X 2020-03-13,28.0
0Q2LTOG X 2020-03-14,19.0
0Q2LTOG X 2020-03-15,30.0
0Q2LTOG X 2020-03-16,28.0
0Q2LTOG X 2020-03-17,45.0
0Q2LTOG X 2020-03-18,42.0
0Q2LTOG X 2020-03-19,36.0
0Q2LTOG X 2020-03-20,28.0
0Q2LTOG X 2020-03-21,35.0
0Q2LTOG X 2020-03-22,39.0
0Q2LTOG X 2020-03-23,41.0
0Q2LTOG X 2020-03-24,38.0
0Q2LTOG X 2020-03-25,34.0
0Q2LTOG X 2020-03-26,21.0
0Q2LTOG X 2020-03-27,16.0
0Q2LTOG X 2020-03-28,29.0
0Q2LTOG X 2020-03-29,29.0
0Q2LTOG X 2020-03-30,21.0
0Q2LTOG X 2020-03-31,21.0
0Q2LTOG X 2020-04-01,88.0
0Q2LTOG X 2020-04-02,114.0
0Q2LTOG X 2020-04-03,122.0
0Q2LTOG X 2020-04-04,97.0
15WCXN1 X 2020-01-02,86.0
15WCXN1 X 2020-01-03,82.0
15WCXN1 X 2020-01-04,40.0
15WCXN1 X 2020-01-05,26.0
15WCXN1 X 2020-01-06,75.0
15WCXN1 X 2020-01-07,77.0
15WCXN1 X 2020-01-08,74.0
15WCXN1 X 2020-01-09,108.0
15WCXN1 X 2020-01-10,112.0
