Place_ID X Date,target
0OS9LVX X 2020-01-02,47.422565
0OS9LVX X 2020-01-03,38.93474
0OS9LVX X 2020-01-04,37.31957
0OS9LVX X 2020-01-05,41.9797
0OS9LVX X 2020-01-06,33.387238
0OS9LVX X 2020-01-07,22.219393
0OS9LVX X 2020-01-08,50.95204
0OS9LVX X 2020-01-09,44.14989
0OS9LVX X 2020-01-10,43.98354
0OS9LVX X 2020-01-11,36.547596
0OS9LVX X 2020-01-12,51.802372
0OS9LVX X 2020-01-13,61.45108
0OS9LVX X 2020-01-14,35.124676
0OS9LVX X 2020-01-15,50.355194
0OS9LVX X 2020-01-16,42.096237
0OS9LVX X 2020-01-17,75.01277
0OS9LVX X 2020-01-18,63.03556
0OS9LVX X 2020-01-19,35.1425
0OS9LVX X 2020-01-20,36.82223
0OS9LVX X 2020-01-21,43.029957
0OS9LVX X 2020-01-22,39.464302
0OS9LVX X 2020-01-23,36.334667
0OS9LVX X 2020-01-24,30.76389
0OS9LVX X 2020-01-25,18.231514
0OS9LVX X 2020-01-26,30.063524
0OS9LVX X 2020-01-27,32.374794
0OS9LVX X 2020-01-28,30.361639
0OS9LVX X 2020-01-29,33.803677
0OS9LVX X 2020-01-30,42.07423
0OS9LVX X 2020-01-31,50.35945
0OS9LVX X 2020-02-01,42.5318
0OS9LVX X 2020-02-02,46.54903
0OS9LVX X 2020-02-03,51.21774
0OS9LVX X 2020-02-04,45.5849
0OS9LVX X 2020-02-05,31.02989
0OS9LVX X 2020-02-06,38.840805
0OS9LVX X 2020-02-07,42.161125
0OS9LVX X 2020-02-08,52.672382
0OS9LVX X 2020-02-09,55.03392
0OS9LVX X 2020-02-10,45.53566
0OS9LVX X 2020-02-11,57.66509
0OS9LVX X 2020-02-12,40.418697
0OS9LVX X 2020-02-13,37.969204
0OS9LVX X 2020-02-14,57.03101
0OS9LVX X 2020-02-15,37.26088
0OS9LVX X 2020-02-16,42.35494
0OS9LVX X 2020-02-17,40.288307
0OS9LVX X 2020-02-18,40.465603
0OS9LVX X 2020-02-19,65.32567
0OS9LVX X 2020-02-20,54.230415
0OS9LVX X 2020-02-21,42.206005
0OS9LVX X 2020-02-22,49.867577
0OS9LVX X 2020-02-23,43.263462
0OS9LVX X 2020-02-24,31.917213
0OS9LVX X 2020-02-25,40.36076
0OS9LVX X 2020-02-26,37.49095
0OS9LVX X 2020-02-27,48.837437
0OS9LVX X 2020-02-28,41.96833
0OS9LVX X 2020-02-29,43.181263
0OS9LVX X 2020-03-01,57.85074
0OS9LVX X 2020-03-02,46.33982
0OS9LVX X 2020-03-03,34.608074
0OS9LVX X 2020-03-04,56.271004
0OS9LVX X 2020-03-05,52.060604
0OS9LVX X 2020-03-06,61.519512
0OS9LVX X 2020-03-07,70.67684
0OS9LVX X 2020-03-08,44.733322
0OS9LVX X 2020-03-09,38.165497
0OS9LVX X 2020-03-10,38.4005
0OS9LVX X 2020-03-11,38.30779
0OS9LVX X 2020-03-12,40.59123
0OS9LVX X 2020-03-13,45.927647
0OS9LVX X 2020-03-14,54.157455
0OS9LVX X 2020-03-15,36.368885
0OS9LVX X 2020-03-16,45.775055
0OS9LVX X 2020-03-17,58.130188
0OS9LVX X 2020-03-18,56.631756
0OS9LVX X 2020-03-19,33.818684
0OS9LVX X 2020-03-20,35.181377
0OS9LVX X 2020-03-21,29.922783
0OS9LVX X 2020-03-22,28.95073
0OS9LVX X 2020-03-23,44.779697
0OS9LVX X 2020-03-24,38.50261
0OS9LVX X 2020-03-25,44.59543
0OS9LVX X 2020-03-26,33.076508
0OS9LVX X 2020-03-27,34.853878
0OS9LVX X 2020-03-28,66.48955
0OS9LVX X 2020-03-29,39.199417
0OS9LVX X 2020-03-30,51.890007
0OS9LVX X 2020-03-31,39.647587
0OS9LVX X 2020-04-01,33.385468
0OS9LVX X 2020-04-02,28.278124
0OS9LVX X 2020-04-03,56.506878
0OS9LVX X 2020-04-04,74.895805
0Q2LTOG X 2020-01-02,138.94812
0Q2LTOG X 2020-01-03,119.15303
0Q2LTOG X 2020-01-04,119.01551
0Q2LTOG X 2020-01-05,125.12146
0Q2LTOG X 2020-01-06,115.71474
0Q2LTOG X 2020-01-07,64.34049
0Q2LTOG X 2020-01-08,44.924
0Q2LTOG X 2020-01-09,113.37251
0Q2LTOG X 2020-01-10,130.69331
0Q2LTOG X 2020-01-11,132.3599
0Q2LTOG X 2020-01-12,96.49335
0Q2LTOG X 2020-01-13,49.632904
0Q2LTOG X 2020-01-14,95.2638
0Q2LTOG X 2020-01-15,71.71303
0Q2LTOG X 2020-01-16,78.03446
0Q2LTOG X 2020-01-17,98.16003
0Q2LTOG X 2020-01-18,73.80048
0Q2LTOG X 2020-01-19,150.01472
0Q2LTOG X 2020-01-20,152.75311
0Q2LTOG X 2020-01-21,78.27924
0Q2LTOG X 2020-01-22,118.18126
0Q2LTOG X 2020-01-23,91.49457
0Q2LTOG X 2020-01-24,90.30524
0Q2LTOG X 2020-01-25,84.07394
0Q2LTOG X 2020-01-26,73.1614
