Place_ID X Date,target
0OS9LVX X 2020-01-02,47.0
0OS9LVX X 2020-01-03,39.0
0OS9LVX X 2020-01-04,37.0
0OS9LVX X 2020-01-05,42.0
0OS9LVX X 2020-01-06,33.0
0OS9LVX X 2020-01-07,22.0
0OS9LVX X 2020-01-08,51.0
0OS9LVX X 2020-01-09,44.0
0OS9LVX X 2020-01-10,44.0
0OS9LVX X 2020-01-11,37.0
0OS9LVX X 2020-01-12,52.0
0OS9LVX X 2020-01-13,61.0
0OS9LVX X 2020-01-14,35.0
0OS9LVX X 2020-01-15,50.0
0OS9LVX X 2020-01-16,42.0
0OS9LVX X 2020-01-17,75.0
0OS9LVX X 2020-01-18,63.0
0OS9LVX X 2020-01-19,35.0
0OS9LVX X 2020-01-20,37.0
0OS9LVX X 2020-01-21,43.0
0OS9LVX X 2020-01-22,39.0
0OS9LVX X 2020-01-23,36.0
0OS9LVX X 2020-01-24,31.0
0OS9LVX X 2020-01-25,18.0
0OS9LVX X 2020-01-26,30.0
0OS9LVX X 2020-01-27,32.0
0OS9LVX X 2020-01-28,30.0
0OS9LVX X 2020-01-29,34.0
0OS9LVX X 2020-01-30,42.0
0OS9LVX X 2020-01-31,50.0
0OS9LVX X 2020-02-01,43.0
0OS9LVX X 2020-02-02,47.0
0OS9LVX X 2020-02-03,51.0
0OS9LVX X 2020-02-04,46.0
0OS9LVX X 2020-02-05,31.0
0OS9LVX X 2020-02-06,39.0
0OS9LVX X 2020-02-07,42.0
0OS9LVX X 2020-02-08,53.0
0OS9LVX X 2020-02-09,55.0
0OS9LVX X 2020-02-10,46.0
0OS9LVX X 2020-02-11,58.0
0OS9LVX X 2020-02-12,40.0
0OS9LVX X 2020-02-13,38.0
0OS9LVX X 2020-02-14,57.0
0OS9LVX X 2020-02-15,37.0
0OS9LVX X 2020-02-16,42.0
0OS9LVX X 2020-02-17,40.0
0OS9LVX X 2020-02-18,40.0
0OS9LVX X 2020-02-19,65.0
0OS9LVX X 2020-02-20,54.0
0OS9LVX X 2020-02-21,42.0
0OS9LVX X 2020-02-22,50.0
0OS9LVX X 2020-02-23,43.0
0OS9LVX X 2020-02-24,32.0
0OS9LVX X 2020-02-25,40.0
0OS9LVX X 2020-02-26,37.0
0OS9LVX X 2020-02-27,49.0
0OS9LVX X 2020-02-28,42.0
0OS9LVX X 2020-02-29,43.0
0OS9LVX X 2020-03-01,58.0
0OS9LVX X 2020-03-02,46.0
0OS9LVX X 2020-03-03,35.0
0OS9LVX X 2020-03-04,56.0
0OS9LVX X 2020-03-05,52.0
0OS9LVX X 2020-03-06,62.0
0OS9LVX X 2020-03-07,71.0
0OS9LVX X 2020-03-08,45.0
0OS9LVX X 2020-03-09,38.0
0OS9LVX X 2020-03-10,38.0
0OS9LVX X 2020-03-11,38.0
0OS9LVX X 2020-03-12,41.0
0OS9LVX X 2020-03-13,46.0
0OS9LVX X 2020-03-14,54.0
0OS9LVX X 2020-03-15,36.0
0OS9LVX X 2020-03-16,46.0
0OS9LVX X 2020-03-17,58.0
0OS9LVX X 2020-03-18,57.0
0OS9LVX X 2020-03-19,34.0
0OS9LVX X 2020-03-20,35.0
0OS9LVX X 2020-03-21,30.0
0OS9LVX X 2020-03-22,29.0
0OS9LVX X 2020-03-23,45.0
0OS9LVX X 2020-03-24,39.0
0OS9LVX X 2020-03-25,45.0
0OS9LVX X 2020-03-26,33.0
0OS9LVX X 2020-03-27,35.0
0OS9LVX X 2020-03-28,66.0
0OS9LVX X 2020-03-29,39.0
0OS9LVX X 2020-03-30,52.0
0OS9LVX X 2020-03-31,40.0
0OS9LVX X 2020-04-01,33.0
0OS9LVX X 2020-04-02,28.0
0OS9LVX X 2020-04-03,57.0
0OS9LVX X 2020-04-04,75.0
0Q2LTOG X 2020-01-02,139.0
0Q2LTOG X 2020-01-03,119.0
0Q2LTOG X 2020-01-04,119.0
0Q2LTOG X 2020-01-05,125.0
0Q2LTOG X 2020-01-06,116.0
0Q2LTOG X 2020-01-07,64.0
0Q2LTOG X 2020-01-08,45.0
0Q2LTOG X 2020-01-09,113.0
0Q2LTOG X 2020-01-10,131.0
0Q2LTOG X 2020-01-11,132.0
0Q2LTOG X 2020-01-12,96.0
0Q2LTOG X 2020-01-13,50.0
0Q2LTOG X 2020-01-14,95.0
0Q2LTOG X 2020-01-15,72.0
0Q2LTOG X 2020-01-16,78.0
0Q2LTOG X 2020-01-17,98.0
0Q2LTOG X 2020-01-18,74.0
0Q2LTOG X 2020-01-19,150.0
0Q2LTOG X 2020-01-20,153.0
0Q2LTOG X 2020-01-21,78.0
0Q2LTOG X 2020-01-22,118.0
0Q2LTOG X 2020-01-23,91.0
0Q2LTOG X 2020-01-24,90.0
0Q2LTOG X 2020-01-25,84.0
0Q2LTOG X 2020-01-26,73.0
0Q2LTOG X 2020-01-27,63.0
0Q2LTOG X 2020-01-28,38.0
0Q2LTOG X 2020-01-29,75.0
0Q2LTOG X 2020-01-30,91.0
0Q2LTOG X 2020-01-31,124.0
0Q2LTOG X 2020-02-01,116.0
0Q2LTOG X 2020-02-02,137.0
0Q2LTOG X 2020-02-03,66.0
0Q2LTOG X 2020-02-04,72.0
0Q2LTOG X 2020-02-05,62.0
0Q2LTOG X 2020-02-06,64.0
0Q2LTOG X 2020-02-07,68.0
0Q2LTOG X 2020-02-08,93.0
0Q2LTOG X 2020-02-09,84.0
0Q2LTOG X 2020-02-10,127.0
0Q2LTOG X 2020-02-11,105.0
0Q2LTOG X 2020-02-12,67.0
0Q2LTOG X 2020-02-13,100.0
0Q2LTOG X 2020-02-14,133.0
0Q2LTOG X 2020-02-15,65.0
0Q2LTOG X 2020-02-16,47.0
0Q2LTOG X 2020-02-17,22.0
0Q2LTOG X 2020-02-18,11.0
0Q2LTOG X 2020-02-19,137.0
0Q2LTOG X 2020-02-20,125.0
0Q2LTOG X 2020-02-21,135.0
0Q2LTOG X 2020-02-22,81.0
